trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
800,False,"{'a': 0.5, 'e': 0.0625}",25,11,21.905366516404158,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
801,False,"{'a': 0.5, 'e': 0.06228376642674174}",30,17,23.14581635653125,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
802,False,"{'a': 0.5, 'e': 0.06206828096481475}",25,10,29.333409283840027,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
803,False,"{'a': 0.5, 'e': 0.06185354102595045}",20,7,14.024303272544355,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
804,False,"{'a': 0.5, 'e': 0.06163954403083493}",25,8,35.865949909861136,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
805,False,"{'a': 0.5, 'e': 0.06142628740907818}",20,9,21.28785791715453,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
806,False,"{'a': 0.5, 'e': 0.06121376859918292}",20,6,21.518577624450607,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
807,False,"{'a': 0.5, 'e': 0.061001985048514035}",25,12,13.137859725192909,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
808,False,"{'a': 0.5, 'e': 0.060790934213267846}",20,11,-5.854809167334448,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
809,False,"{'a': 0.5, 'e': 0.06058061355844156}",20,13,15.39234411771889,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
810,False,"{'a': 0.5, 'e': 0.06037102055780286}",25,18,16.902589431371556,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
811,False,"{'a': 0.5, 'e': 0.06016215269385947}",20,5,26.81325349839388,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
812,False,"{'a': 0.5, 'e': 0.059954007457829}",25,15,22.73969505306158,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
813,False,"{'a': 0.5, 'e': 0.05974658234960887}",20,0,33.97075563923346,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
814,False,"{'a': 0.5, 'e': 0.05953987487774608}",20,2,15.08091503202237,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
815,False,"{'a': 0.5, 'e': 0.05933388255940744}",20,12,15.980466900749285,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
816,False,"{'a': 0.5, 'e': 0.05912860292034974}",20,6,22.022864546353166,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.5, 'e': 0.05892403349488997}",20,7,22.42985419331969,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
818,False,"{'a': 0.5, 'e': 0.058720171825875744}",25,11,28.432216677702232,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
819,False,"{'a': 0.5, 'e': 0.05851701546465578}",25,13,23.76182731224715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
820,False,"{'a': 0.5, 'e': 0.05831456197105048}",35,18,28.901678617666676,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.5, 'e': 0.0581128089133226}",20,16,6.315990160888972,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
822,False,"{'a': 0.5, 'e': 0.05791175386814817}",20,10,16.946422903189138,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
